company,valuation_b,date_joined,industry,city,country,continent,year_founded,funding_b,year_joined,month_joined,quarter_joined,early_founder_flag,years_to_unicorn,funding_efficiency,is_high_value,log_valuation,decade_founded
Bytedance,180,2017-04-07,Artificial intelligence,Beijing,China,Asia,2012,8.0,2017,4,2,0,5,22.5,1,5.198497031265826,2010
SpaceX,100,2012-12-01,Other,Hawthorne,United States,North America,2002,7.0,2012,12,4,0,10,14.285714285714286,1,4.61512051684126,2000
SHEIN,100,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2.0,2018,7,3,0,10,50.0,1,4.61512051684126,2000
Stripe,95,2014-01-23,Fintech,San Francisco,United States,North America,2010,2.0,2014,1,1,0,4,47.5,1,4.564348191467836,2010
Klarna,46,2011-12-12,Fintech,Stockholm,Sweden,Europe,2005,4.0,2011,12,4,0,6,11.5,1,3.8501476017100584,2000
Canva,40,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,2012,0.572,2018,1,1,0,6,69.93006993006993,1,3.713572066704308,2010
Checkout.com,40,2019-05-02,Fintech,London,United Kingdom,Europe,2012,2.0,2019,5,2,0,7,20.0,1,3.713572066704308,2010
Instacart,39,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3.0,2014,12,4,0,2,13.0,1,3.6888794541139363,2010
JUUL Labs,38,2017-12-20,Consumer & retail,San Francisco,United States,North America,2015,14.0,2017,12,4,0,2,2.7142857142857144,1,3.6635616461296463,2010
Databricks,38,2019-02-05,Data management & analytics,San Francisco,United States,North America,2013,3.0,2019,2,1,0,6,12.666666666666666,1,3.6635616461296463,2010
Revolut,33,2018-04-26,Fintech,London,United Kingdom,Europe,2015,2.0,2018,4,2,0,3,16.5,1,3.5263605246161616,2010
Epic Games,32,2018-10-26,Other,Cary,United States,North America,1991,7.0,2018,10,4,0,27,4.571428571428571,1,3.4965075614664802,1990
FTX,32,2021-07-20,Fintech,Unknown,Bahamas,North America,2018,2.0,2021,7,3,0,3,16.0,1,3.4965075614664802,2010
Fanatics,27,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4.0,2012,6,2,0,10,6.75,1,3.332204510175204,2000
Chime,25,2019-03-05,Fintech,San Francisco,United States,North America,2013,2.0,2019,3,1,0,6,12.5,1,3.258096538021482,2010
BYJU's,22,2017-07-25,Edtech,Bengaluru,India,Asia,2008,4.0,2017,7,3,0,9,5.5,1,3.1354942159291497,2000
J&T Express,20,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5.0,2021,4,2,0,6,4.0,1,3.044522437723423,2010
Xiaohongshu,20,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,0.918,2016,3,1,0,3,21.78649237472767,1,3.044522437723423,2010
Miro,18,2022-01-05,Internet software & services,San Francisco,United States,North America,2011,0.476,2022,1,1,0,11,37.81512605042017,1,2.9444389791664403,2010
Yuanfudao,17,2017-05-31,Edtech,Beijing,China,Asia,2012,4.0,2017,5,2,0,5,4.25,1,2.8903717578961645,2010
Rapyd,15,2019-12-03,Fintech,London,United Kingdom,Europe,2016,0.77,2019,12,4,0,3,19.48051948051948,1,2.772588722239781,2010
Discord,15,2018-04-20,Internet software & services,San Francisco,United States,North America,2012,0.979,2018,4,2,0,6,15.321756894790603,1,2.772588722239781,2010
Genki Forest,15,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,0.721,2020,3,1,0,4,20.804438280166437,1,2.772588722239781,2010
