industry,companies,total_valuation_b,avg_valuation_b,avg_funding_b,avg_years_to_unicorn
Fintech,224,882.0,3.94,0.49,6.5
Internet software & services,205,595.0,2.9,0.36,7.9
E-commerce & direct-to-consumer,111,426.0,3.84,0.68,6.4
Artificial intelligence,73,361.0,4.95,0.6,6.0
Other,58,252.0,4.34,0.7,7.8
Health,74,198.0,2.68,0.46,8.2
"Supply chain, logistics, & delivery",57,177.0,3.11,0.79,6.9
Data management & analytics,41,136.0,3.32,0.45,8.1
Cybersecurity,50,129.0,2.58,0.44,6.8
Consumer & retail,25,106.0,4.24,1.03,8.1
Edtech,28,100.0,3.57,0.78,7.7
Auto & transportation,31,99.0,3.19,1.13,5.0
Hardware,34,99.0,2.91,0.63,5.9
Mobile & telecommunications,38,89.0,2.34,0.4,6.4
Travel,14,46.0,3.29,0.9,6.6
Artificial Intelligence,11,16.0,1.45,0.26,5.4
