company,industry,country,year_founded,year_joined,years_to_unicorn,valuation_b
Ola Electric Mobility,Auto & transportation,India,2019,2019,0,5
Flink Food,E-commerce & direct-to-consumer,Germany,2021,2021,0,3
candy.com,Fintech,United States,2021,2021,0,2
Avant,Artificial intelligence,United States,2012,2012,0,2
ClickHouse,Data management & analytics,United States,2021,2021,0,2
Yidian Zixun,Mobile & telecommunications,China,2021,2017,0,1
Jokr,E-commerce & direct-to-consumer,United States,2021,2021,0,1
GlobalBees,E-commerce & direct-to-consumer,India,2021,2021,0,1
Mensa Brands,Other,India,2021,2021,0,1
Playco,Other,Japan,2020,2020,0,1
Devoted Health,Health,United States,2017,2018,1,13
Brex,Fintech,United States,2017,2018,1,12
Chehaoduo,E-commerce & direct-to-consumer,China,2015,2016,1,10
Hopin,Internet software & services,United Kingdom,2019,2020,1,8
Scale AI,Artificial intelligence,United States,2018,2019,1,7
Black Unicorn Factory,Other,United States,2020,2021,1,6
Wiz,Cybersecurity,Israel,2020,2021,1,6
Cerebral,Health,United States,2020,2021,1,5
Clubhouse,Mobile & telecommunications,United States,2020,2021,1,4
Yuga Labs,Fintech,United States,2021,2022,1,4
