company,industry,country,year_founded,year_joined,years_to_unicorn,valuation_b,funding_b
Otto Bock HealthCare,Health,Germany,1919,2017,98,4,0.0
Promasidor Holdings,Consumer & retail,South Africa,1979,2016,37,2,0.556
Five Star Business Finance,Other,India,1984,2021,37,1,0.456
Thirty Madison,Health,United States,1993,2021,28,1,0.21
Radius Payment Solutions,Fintech,United Kingdom,1990,2017,27,1,0.2
Epic Games,Other,United States,1991,2018,27,32,7.0
Howden Group Holdings,Other,United Kingdom,1994,2020,26,5,0.187
BGL Group,Fintech,United Kingdom,1992,2017,25,2,0.696
Caris Life Sciences,Health,United States,1996,2021,25,8,1.0
Carzone,E-commerce & direct-to-consumer,China,1995,2019,24,2,0.946
National Stock Exchange of India,Fintech,India,1998,2020,22,7,0.297
Pine Labs,Fintech,India,1998,2020,22,5,0.903
Weilong Foods,Consumer & retail,China,1999,2021,22,11,0.558
Starburst,Data management & analytics,United States,1999,2021,22,3,0.414
InSightec,Health,Israel,1999,2020,21,1,0.633
Workhuman,Internet software & services,Ireland,1999,2020,21,1,0.009
YH Global,"Supply chain, logistics, & delivery",China,1997,2017,20,1,0.182
Movile,Mobile & telecommunications,Brazil,1998,2018,20,1,0.588
Numbrs,Fintech,Switzerland,1999,2019,20,1,0.105
Easyhome,Consumer & retail,China,1999,2018,19,6,2.0
Global Switch,Hardware,United Kingdom,1998,2016,18,11,5.0
OVH,Other,France,1999,2016,17,1,1.0
